Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296860	MAG	1841381	164	19770	58.35	91.03	0.27	0.00	0.00	0.00	18	CAJXCS01	MGYG000296860	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp001632165	ERS7418398	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296860/genomes1/MGYG000296860.gff.gz
MGYG000296861	MAG	2092945	198	14453	54.3	91.57	3.36	0.00	21.79	0.00	19	CAJXNU01	MGYG000296861	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__	ERS7419417	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296861/genomes1/MGYG000296861.gff.gz
MGYG000296862	MAG	1410161	125	12815	44.59	77.83	2.99	94.96	0.00	7.83	12	CAJWRY01	MGYG000296862	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__MedAcidi-G2A;s__	ERS7419367	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296862/genomes1/MGYG000296862.gff.gz
MGYG000296863	MAG	2950552	13	528463	37.81	97.36	0.33	0.00	99.67	32.68	20	CAJXLB01	MGYG000296863	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__	ERS7418343	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296863/genomes1/MGYG000296863.gff.gz
MGYG000296864	MAG	1785730	106	29615	43.91	90.05	1.64	0.00	0.00	11.15	13	CAJWZE01	MGYG000296864	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003545085	ERS7418644	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296864/genomes1/MGYG000296864.gff.gz
MGYG000296865	MAG	1546616	98	32389	41.13	66.81	1.36	89.08	51.53	22.80	19	CAJXAA01	MGYG000296865	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__DTSX01;s__DTSX01 sp012965065	ERS7419555	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296865/genomes1/MGYG000296865.gff.gz
MGYG000296866	MAG	1260520	111	17840	36.25	84.08	0.66	0.00	65.36	0.00	15	CAJWUU01	MGYG000296866	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__	ERS7419222	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296866/genomes1/MGYG000296866.gff.gz
MGYG000296867	MAG	2758419	231	21394	63.63	83.37	0.68	0.00	0.00	0.00	15	CAJXDL01	MGYG000296867	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp000153545	ERS7418229	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296867/genomes1/MGYG000296867.gff.gz
MGYG000296868	MAG	927915	62	22951	35.82	77.57	1.47	0.00	9.33	0.00	16	CAJWXI01	MGYG000296868	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__TMED112;g__TMED112;s__TMED112 sp902535365	ERS7418732	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296868/genomes1/MGYG000296868.gff.gz
MGYG000296869	MAG	3017188	465	7664	49.13	87.81	3.73	0.00	21.66	0.00	16	CAJWOI01	MGYG000296869	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__MarineAlpha9-Bin7;s__	ERS7419494	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296869/genomes1/MGYG000296869.gff.gz
MGYG000296870	MAG	7481222	1010	9495	65.95	87.9	0.99	0.00	99.61	99.83	18	CAJXRJ01	MGYG000296870	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2862085;s__	ERS7419318	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296870/genomes1/MGYG000296870.gff.gz
MGYG000296871	MAG	2863386	93	48001	39.07	88.8	0.0	89.92	0.00	11.35	12	CAJWHD01	MGYG000296871	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp002704555	ERS7419571	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296871/genomes1/MGYG000296871.gff.gz
MGYG000296872	MAG	2000415	155	20794	71.01	89.16	2.35	0.00	0.00	0.00	19	CAJXLI01	MGYG000296872	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Halorhodospira;s__	ERS7418888	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296872/genomes1/MGYG000296872.gff.gz
MGYG000296873	MAG	963717	109	10926	42.77	52.35	0.0	0.00	0.00	0.00	14	CAJWSE01	MGYG000296873	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__GCA-002718515;s__	ERS7419306	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296873/genomes1/MGYG000296873.gff.gz
MGYG000296874	MAG	1753169	60	42975	46.18	93.28	0.54	94.12	51.34	11.42	16	CAJWAJ01	MGYG000296874	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003455605	ERS7418408	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296874/genomes1/MGYG000296874.gff.gz
MGYG000296875	MAG	3757040	262	22651	60.85	96.62	4.01	94.96	21.72	5.37	19	CAJXIP01	MGYG000296875	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	ERS7419646	ERP121137	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296875/genomes1/MGYG000296875.gff.gz
MGYG000296876	MAG	2922857	268	14481	53.05	71.21	2.23	0.00	0.00	0.00	18	CAJXBK01	MGYG000296876	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__UBA3470;s__UBA3470 sp002709525	ERS7418345	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296876/genomes1/MGYG000296876.gff.gz
MGYG000296877	MAG	2916939	137	45860	38.51	86.75	2.2	94.96	0.00	27.83	15	CAJWLO01	MGYG000296877	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__UBA2134;s__	ERS7418175	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296877/genomes1/MGYG000296877.gff.gz
MGYG000296878	MAG	4875306	344	22246	36.43	80.17	4.31	94.12	0.00	8.21	17	CAJWBY01	MGYG000296878	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia_A;s__	ERS7419133	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296878/genomes1/MGYG000296878.gff.gz
MGYG000296879	MAG	1368256	143	12441	35.83	85.65	1.61	0.00	0.00	0.00	17	CAJWXB01	MGYG000296879	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7312;g__UBA7312;s__UBA7312 sp002306655	ERS7418316	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296879/genomes1/MGYG000296879.gff.gz
MGYG000296880	MAG	2417042	57	54390	48.96	96.07	0.06	0.00	52.58	0.00	15	CAJVXL01	MGYG000296880	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__	ERS7419061	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296880/genomes1/MGYG000296880.gff.gz
MGYG000296881	MAG	1971519	93	30461	39.85	79.11	0.9	0.00	24.33	12.58	17	CAJXLO01	MGYG000296881	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__	ERS7418779	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296881/genomes1/MGYG000296881.gff.gz
MGYG000296882	MAG	2065490	129	30395	34.29	96.09	1.24	94.96	0.00	10.56	17	CAJXRB01	MGYG000296882	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	ERS7419452	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296882/genomes1/MGYG000296882.gff.gz
MGYG000296883	MAG	2015784	142	27711	67.53	93.16	1.28	0.00	22.90	0.00	19	CAJWLD01	MGYG000296883	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__	ERS7418760	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296883/genomes1/MGYG000296883.gff.gz
MGYG000296884	MAG	4251998	13	402791	62.03	91.59	3.25	0.00	0.00	0.00	20	CAJXPB01	MGYG000296884	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	ERS7419234	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296884/genomes1/MGYG000296884.gff.gz
MGYG000296885	MAG	2203043	85	52968	42.54	91.25	2.87	86.55	45.60	21.54	20	CAJWSO01	MGYG000296885	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA826;g__UBA11996;s__UBA11996 sp009392675	ERS7419549	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296885/genomes1/MGYG000296885.gff.gz
MGYG000296886	MAG	3313135	260	17706	55.58	84.48	3.45	95.80	6.78	16.96	15	CAJXXH01	MGYG000296886	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter;s__Spongiibacter sp002306875	ERS7418710	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296886/genomes1/MGYG000296886.gff.gz
MGYG000296887	MAG	4984870	422	16449	37.94	97.11	2.85	93.28	0.00	10.84	14	CAJXRC01	MGYG000296887	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__	ERS7419147	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296887/genomes1/MGYG000296887.gff.gz
MGYG000296888	MAG	2894614	510	6835	49.23	84.11	3.07	0.00	0.00	0.00	15	CAJXJM01	MGYG000296888	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__UBA2165;s__	ERS7418204	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296888/genomes1/MGYG000296888.gff.gz
MGYG000296889	MAG	2226177	168	18991	53.47	90.74	0.37	0.00	0.00	0.00	11	CAJWNA01	MGYG000296889	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__	ERS7419068	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296889/genomes1/MGYG000296889.gff.gz
MGYG000296890	MAG	3225202	192	25495	39.57	95.95	0.77	0.00	0.00	12.21	18	CAJXMN01	MGYG000296890	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Brumimicrobium;s__	ERS7419333	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296890/genomes1/MGYG000296890.gff.gz
MGYG000296891	MAG	3473667	87	85029	33.52	96.2	1.47	0.00	0.00	0.00	18	CAJWWN01	MGYG000296891	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella sp002682935	ERS7418614	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296891/genomes1/MGYG000296891.gff.gz
MGYG000296892	MAG	2050757	66	87106	35.81	84.64	1.72	0.00	0.00	0.00	11	CAJVZQ01	MGYG000296892	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Hel1-33-131;s__	ERS7419396	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296892/genomes1/MGYG000296892.gff.gz
MGYG000296893	MAG	1852106	53	57659	38.93	91.21	0.0	94.96	0.00	12.48	20	CAJWGT01	MGYG000296893	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__UBA2126 sp002436185	ERS7419523	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296893/genomes1/MGYG000296893.gff.gz
MGYG000296894	MAG	3104014	247	16475	58.69	95.17	1.2	94.12	22.70	11.86	17	CAJWCB01	MGYG000296894	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter vinifirmus	ERS7418460	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296894/genomes1/MGYG000296894.gff.gz
MGYG000296895	MAG	4098707	159	40656	56.15	98.65	0.17	0.00	99.67	64.27	20	CAJXQX01	MGYG000296895	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__IMCC26134_A;s__	ERS7419369	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296895/genomes1/MGYG000296895.gff.gz
MGYG000296896	MAG	5549755	507	15024	57.59	94.93	4.19	0.00	0.00	0.00	17	CAJWMO01	MGYG000296896	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AAA164-E04;g__UBA2970;s__UBA2970 sp002348345	ERS7418513	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296896/genomes1/MGYG000296896.gff.gz
MGYG000296897	MAG	458925	8	83102	31.88	54.95	0.0	0.00	0.00	0.00	12	CAJWRD01	MGYG000296897	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__Marinisoma;s__Marinisoma sp002348725	ERS7418992	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296897/genomes1/MGYG000296897.gff.gz
MGYG000296898	MAG	3905027	47	123880	66.92	99.59	0.62	94.96	0.00	0.00	20	CAJXWX01	MGYG000296898	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	ERS7418521	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296898/genomes1/MGYG000296898.gff.gz
MGYG000296899	MAG	2391530	214	16121	58.03	87.7	2.81	0.00	51.40	0.00	14	CAJXDE01	MGYG000296899	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__	ERS7418598	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002968/MGYG000296899/genomes1/MGYG000296899.gff.gz
MGYG000296900	MAG	1505157	241	7103	58.86	70.88	0.8	0.00	21.72	0.00	10	CAJWMZ01	MGYG000296900	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__	ERS7419056	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296900/genomes1/MGYG000296900.gff.gz
MGYG000296901	MAG	1910257	101	27504	41.42	97.54	0.0	0.00	52.45	0.00	16	CAJYAX01	MGYG000296901	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA5951;s__UBA5951 sp003332015	ERS7419040	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296901/genomes1/MGYG000296901.gff.gz
MGYG000296902	MAG	1704340	235	9504	36.27	55.17	0.0	0.00	0.00	0.00	13	CAJWHU01	MGYG000296902	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__	ERS7419400	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296902/genomes1/MGYG000296902.gff.gz
MGYG000296903	MAG	2774807	209	19443	37.91	79.85	4.43	0.00	34.57	0.00	16	CAJXAT01	MGYG000296903	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA4465;s__	ERS7418236	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296903/genomes1/MGYG000296903.gff.gz
MGYG000296904	MAG	3051668	627	5658	36.36	80.06	0.56	0.00	35.09	0.00	11	CAJXOV01	MGYG000296904	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__	ERS7419309	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296904/genomes1/MGYG000296904.gff.gz
MGYG000296905	MAG	1257923	61	38141	36.75	65.77	0.74	84.87	34.70	16.68	16	CAJWUO01	MGYG000296905	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__GCA-2707915;s__GCA-2707915 sp902630715	ERS7418546	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296905/genomes1/MGYG000296905.gff.gz
MGYG000296906	MAG	2857914	103	57034	55.26	97.54	0.48	95.80	99.61	96.48	19	CAJXNM01	MGYG000296906	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__	ERS7418574	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296906/genomes1/MGYG000296906.gff.gz
MGYG000296907	MAG	2310591	611	3948	60.62	68.61	0.0	0.00	27.07	0.00	9	CAJWJD01	MGYG000296907	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA2160;s__	ERS7419137	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296907/genomes1/MGYG000296907.gff.gz
MGYG000296908	MAG	2935096	313	11115	52.45	79.97	4.69	0.00	23.29	0.00	12	CAJXDD01	MGYG000296908	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp002728935	ERS7418886	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296908/genomes1/MGYG000296908.gff.gz
MGYG000296909	MAG	4629988	267	25741	60.82	95.55	4.55	0.00	23.68	17.44	19	CAJXGF01	MGYG000296909	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Nitratireductor;s__	ERS7419323	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296909/genomes1/MGYG000296909.gff.gz
MGYG000296910	MAG	3914994	131	45788	37.42	97.31	0.45	0.00	22.77	0.00	17	CAJXZP01	MGYG000296910	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Salibacteraceae;g__;s__	ERS7418817	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296910/genomes1/MGYG000296910.gff.gz
MGYG000296911	MAG	536901	50	18369	44.01	64.59	1.12	0.00	0.00	0.00	16	CAJXHH01	MGYG000296911	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__OLB19;s__OLB19 sp002377025	ERS7418511	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296911/genomes1/MGYG000296911.gff.gz
MGYG000296912	MAG	1402461	52	50441	34.88	86.91	0.65	95.80	99.61	10.91	15	CAJWRJ01	MGYG000296912	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__UBA11869 sp002698845	ERS7418214	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296912/genomes1/MGYG000296912.gff.gz
MGYG000296913	MAG	1589082	95	23117	42.36	87.81	0.52	0.00	0.00	0.00	14	CAJWAT01	MGYG000296913	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp001901525	ERS7419465	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296913/genomes1/MGYG000296913.gff.gz
MGYG000296914	MAG	1169006	110	16156	36.24	57.45	0.74	85.71	0.00	4.99	17	CAJWKH01	MGYG000296914	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__GCA-2730855;s__	ERS7419167	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296914/genomes1/MGYG000296914.gff.gz
MGYG000296915	MAG	3731746	3	2499363	59.47	95.77	0.68	94.96	23.16	16.55	19	CAJXKD01	MGYG000296915	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	ERS7419251	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296915/genomes1/MGYG000296915.gff.gz
MGYG000296916	MAG	1723758	102	24031	42.4	83.79	1.28	94.96	52.45	6.05	19	CAJWXX01	MGYG000296916	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp000817085	ERS7419517	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002969/MGYG000296916/genomes1/MGYG000296916.gff.gz
